tconst	averageRating	numVotes
tt0208185	6.3	15610
tt0209475	5.4	90420
tt0209994	6.5	298
tt0210883	6.9	9
tt0212543	5.8	562
tt0212774	6.6	29
tt0212829	3.1	161
tt0215044	5.7	42
tt0216199	6.8	122
tt0217634	7.9	13
tt0218199	7.1	78
tt0219285	4.7	41
tt0219843	6.6	149
tt0220119	5.9	78
tt0221027	7.5	282536
tt0221100	7.8	15
tt0224454	6.5	217
tt0226093	5.7	196
tt0226767	7.8	75
tt0226987	5.2	285
tt0230011	6.9	142314
tt0230906	7.2	92
tt0231050	6.6	641
tt0233041	6.5	6013
tt0233277	5.7	1044
tt0233712	4.6	91
tt0234182	6.7	123
tt0235781	7.3	20
tt0236908	6.1	674
tt0238470	5.1	13
tt0238784	8.2	162725
tt0239395	5.2	64347
tt0240301	7.3	102
tt0242964	3.3	14
tt0243089	6.6	9
tt0243848	3.8	165
tt0246406	4.6	10
tt0247852	6.9	40
tt0247882	8.8	7800
tt0249195	6.2	20
tt0250274	6.3	5244
tt0250586	5.9	12
tt0251127	6.5	300403
tt0254529	5.2	8
tt0255178	7.6	1118
tt0259649	4.1	33
tt0259650	6.5	45
tt0259651	5.8	41
tt0259686	6.8	50
tt0262151	5.6	6229
tt0267913	5.4	133552
tt0271945	4.6	1050
tt0272876	7.3	815
tt0275137	8.5	55030
tt0275847	7.4	232861
tt0277477	6.8	158
tt0278213	8.0	1464
tt0280432	6.7	34
tt0280686	5.5	11
tt0282551	6.8	17
tt0283657	6.0	75
tt0283658	6.5	119
tt0283820	4.7	124
tt0284494	7.0	1620
tt0286153	5.4	75
tt0286587	8.0	165
tt0292070	8.5	13
tt0292816	7.2	107
tt0293268	3.3	8
tt0294002	7.6	312
tt0294208	7.9	414
tt0301454	3.5	7510
tt0303403	7.0	238
tt0303633	4.4	1066
tt0306841	5.6	43715
tt0307108	7.1	37
tt0308280	7.9	5716
tt0308807	6.5	22
tt0309820	6.6	16416
tt0309918	5.1	39
tt0312074	6.6	33
tt0313229	6.6	165
tt0313233	5.1	138
tt0313680	5.2	7968
tt0315608	7.7	243
tt0317268	6.4	125
tt0317533	5.6	10
tt0318913	7.9	14070
tt0324854	8.9	9
tt0327135	7.5	147
tt0327597	7.8	285409
tt0327914	6.1	53
tt0329414	5.5	580
tt0330251	7.7	29858
tt0331632	5.3	69102
tt0334332	6.2	14
tt0334533	7.8	13
tt0335587	8.1	11
tt0335881	6.8	11
tt0337593	5.8	1346
tt0337812	4.0	2291
tt0338459	4.4	69252
tt0339725	6.6	492
tt0342868	6.8	37
tt0343616	7.4	33
tt0343936	8.1	85
tt0344864	5.0	12108
tt0349166	8.5	2064
tt0353399	7.5	220
tt0355706	8.8	55
tt0358572	5.7	45
tt0362270	7.2	216884
tt0363333	5.8	234
tt0363778	2.3	186
tt0364845	7.8	171566
tt0367424	6.5	1024
tt0368530	7.8	91414
tt0369434	5.5	30
tt0371606	5.7	105492
tt0374225	4.0	324
tt0375517	6.6	39
tt0377156	6.6	404
tt0378558	7.1	42
tt0378738	7.5	19
tt0379270	5.7	1801
tt0381147	4.7	96
tt0381225	7.6	18
tt0381673	3.8	7
tt0381707	5.9	179807
tt0381971	6.5	18940
tt0382430	7.6	21
tt0382572	6.6	1122
tt0382937	6.7	2490
tt0384050	3.8	56
tt0384293	6.0	44
tt0384582	7.3	18
tt0384696	6.3	2850
tt0386601	7.9	12
tt0389790	6.1	189756
tt0390022	7.2	69021
tt0391302	6.9	29
tt0392360	6.1	1769
tt0393421	4.3	1417
tt0394181	6.1	111
tt0395699	5.6	104258
tt0396375	7.1	209
tt0396641	7.0	117
tt0397442	7.5	206973
tt0398417	7.4	14438
tt0399914	3.9	10
tt0400030	7.8	29
tt0401398	5.8	17100
tt0401410	5.3	399
tt0401785	6.7	14
tt0405879	7.5	12
tt0406942	5.7	1868
tt0407121	6.4	8950
tt0409591	8.4	148990
tt0411008	8.3	645204
tt0411490	8.5	27
tt0413573	7.6	361415
tt0414105	8.2	15
tt0414452	7.9	17
tt0416297	8.1	51
tt0416433	7.3	21
tt0417108	6.3	13
tt0420038	6.1	118
tt0422571	7.4	15
tt0423685	7.5	195
tt0423752	6.3	17
tt0423870	7.0	115
tt0424279	6.4	6478
tt0425210	7.7	333426
tt0426282	7.2	47
tt0427230	7.7	34
tt0429067	3.0	11
tt0433090	7.1	268
tt0435229	4.5	15
tt0435618	8.0	34
tt0436128	6.7	9
tt0437863	5.6	56849
tt0438166	8.3	75
tt0439100	7.9	119973
tt0439572	6.6	234534
tt0441773	7.6	553985
tt0442514	5.2	6
tt0442713	7.8	1423
tt0443374	7.6	18
tt0443700	7.4	8
tt0445935	6.0	11740
tt0445984	4.8	116
tt0446059	7.6	80206
tt0447515	5.3	33
tt0449545	7.2	4198
tt0449686	4.4	37
tt0450261	6.5	17
tt0450363	5.8	427
tt0452046	8.1	231916
tt0455275	8.3	631674
tt0456075	6.4	12
tt0457085	8.0	26
tt0457993	6.2	20189
tt0458290	8.4	134178
tt0459759	5.7	1151
tt0460381	2.5	15
tt0460627	7.8	184700
tt0460649	8.3	761496
tt0460681	8.4	514511
tt0460791	7.8	123663
tt0462201	4.6	148
tt0462259	6.7	31
tt0462339	7.9	33
tt0462590	6.5	131010
tt0465925	6.1	21809
tt0465997	5.1	6441
tt0466220	7.9	26
tt0469841	6.4	17
tt0470982	4.7	4588
tt0472954	8.8	267470
tt0473428	6.5	23
tt0475291	7.0	26
tt0475293	5.6	101565
tt0475708	5.2	61
tt0476363	5.0	37
tt0479500	5.9	22074
tt0480511	6.9	18
tt0481018	8.7	39
tt0481226	8.0	57
tt0481264	7.5	12
tt0482567	6.5	270
tt0485299	8.0	95
tt0486411	8.1	37
tt0486728	6.1	107
tt0487849	7.1	2501
tt0488967	3.9	194
tt0489569	6.4	772
tt0491553	6.2	7
tt0491603	7.3	20108
tt0496424	8.3	135555
tt0497349	6.3	47
tt0498351	3.9	791
tt0499170	8.3	101
tt0503633	6.8	76
tt0503671	6.5	81
tt0504198	6.7	301
tt0504395	7.5	358
tt0505934	6.1	15
tt0506361	7.1	64
tt0506833	7.9	10
tt0508235	7.3	2615
tt0508359	7.0	539
tt0508414	6.7	160
tt0508624	7.6	410
tt0509573	8.5	16
tt0509722	8.5	15
tt0511142	8.4	17
tt0512861	8.4	1792
tt0513361	6.8	13
tt0516875	6.9	216
tt0518403	7.8	7
tt0519000	7.6	114
tt0519180	8.2	29
tt0519359	7.3	42
tt0520304	6.9	27
tt0520612	8.0	111
tt0521902	7.4	44
tt0522801	6.7	133
tt0524695	6.0	39
tt0525289	7.7	42
tt0525442	8.0	72
tt0527599	6.9	10
tt0529742	7.4	160
tt0530185	8.2	55
tt0530462	6.7	63
tt0530891	8.2	310
tt0533453	8.2	4314
tt0533487	6.8	4137
tt0534171	6.3	8
tt0534885	7.2	344
tt0534958	6.9	14
tt0534968	7.5	15
tt0535167	7.3	56
tt0536017	7.7	75
tt0536241	5.8	6
tt0538532	7.1	13
tt0539402	7.4	904
tt0539759	7.2	472
tt0540595	8.0	62
tt0540631	8.3	42
tt0540761	8.2	8
tt0542383	6.8	47
tt0543410	6.0	18
tt0543755	6.5	12
tt0543771	7.3	7
tt0543945	7.8	479
tt0544562	8.0	96
tt0544584	8.2	100
tt0545102	7.9	78
tt0547043	5.7	150
tt0547327	6.0	7
tt0552727	5.2	21
tt0552898	6.0	30
tt0553786	7.6	104
tt0554597	7.3	350
tt0556074	7.6	510
tt0556564	8.4	31
tt0559264	7.6	93
tt0560678	8.0	122
tt0560713	7.9	232
tt0560717	7.7	176
tt0562645	8.1	28
tt0567104	8.8	6
tt0568005	7.7	525
tt0568008	7.7	556
tt0568437	7.4	105
tt0572216	7.8	2400
tt0572261	8.6	2344
tt0573938	7.9	62
tt0574061	8.1	130
tt0574088	7.8	99
tt0574528	6.9	46
tt0574821	6.8	43
tt0575334	7.5	124
tt0575414	7.7	105
tt0575940	7.6	62
tt0576488	6.6	36
tt0577576	6.7	12
tt0578594	8.4	2326
tt0578676	7.5	118
tt0579457	7.7	28
tt0579851	7.9	13
tt0580090	7.9	16
tt0581805	7.4	37
tt0582502	7.0	791
tt0583937	7.4	222
tt0584117	7.3	287
tt0587183	7.2	140
tt0588098	7.2	256
tt0591066	8.1	60
tt0593578	7.9	137
tt0594280	7.9	162
tt0594406	7.8	195
tt0594407	8.1	159
tt0594454	7.1	275
tt0594842	9.2	12
tt0594894	3.8	23
tt0595265	8.0	22
tt0597586	7.7	80
tt0598432	7.4	23
tt0599831	6.7	334
tt0599903	7.6	12
tt0601547	8.6	143
tt0602562	8.6	19
tt0602565	7.4	10
tt0613476	8.7	40
tt0613512	6.9	23
tt0614150	7.3	40
tt0614943	6.5	88
tt0618201	8.2	834
tt0618774	6.9	82
tt0618996	8.1	137
tt0620183	7.7	617
tt0621052	6.8	19
tt0624221	7.6	158
tt0624324	7.2	8
tt0624814	7.3	81
tt0624908	7.3	10
tt0629303	7.3	270
tt0629666	8.3	888
tt0629696	8.3	999
tt0629933	7.9	63
tt0631339	6.4	155
tt0633043	7.4	297
tt0633058	7.6	266
tt0633237	7.7	17
tt0634186	7.6	108
tt0636432	6.7	32
tt0636445	7.0	36
tt0636484	7.4	44
tt0638593	9.0	10
tt0638711	6.5	360
tt0638880	7.2	130
tt0639905	8.1	53
tt0643969	7.5	132
tt0644787	7.5	68
tt0646115	7.9	123
tt0646939	8.5	22
tt0647365	7.9	20
tt0648278	7.3	395
tt0648628	7.0	16
tt0649284	7.7	211
tt0649325	7.1	273
tt0650084	7.5	52
tt0650251	7.6	72
tt0650743	6.9	12
tt0651890	8.1	52
tt0653809	7.4	56
tt0653939	7.5	74
tt0658034	8.9	1341
tt0658911	7.0	24
tt0659277	9.2	9
tt0659318	7.3	130
tt0660189	7.7	391
tt0662274	8.5	22
tt0664417	7.2	35
tt0664506	7.8	2118
tt0666507	8.1	15
tt0668456	6.8	21
tt0672574	8.8	31
tt0672929	7.6	71
tt0675272	7.8	14
tt0677210	7.4	80
tt0679184	7.7	882
tt0679671	6.8	126
tt0680101	7.6	21
tt0680144	7.6	15
tt0682199	8.8	67
tt0685321	8.2	261
tt0687990	8.1	336
tt0688240	7.6	18
tt0697324	8.4	54
tt0698267	7.9	18
tt0698904	6.0	41
tt0699198	7.1	49
tt0699223	7.5	23
tt0702034	8.4	1986
tt0703135	7.7	42
tt0703690	8.7	60
tt0705987	7.8	59
tt0706077	6.5	67
