tconst	ordering	nconst	category	job	characters
tt0001138	1	nm0294276	director	director	\N
tt0001138	2	nm0378408	producer	producer	\N
tt0001682	1	nm0644728	actor	\N	["Mr. Carter"]
tt0001682	2	nm0626370	actress	\N	["Mrs. Carter"]
tt0001682	3	nm0789748	actor	\N	["The Carter Son"]
tt0001682	4	nm0115230	actor	\N	["An Editor"]
tt0001682	5	nm0177886	actor	\N	["A Man About Town"]
tt0001682	6	nm0534221	actress	\N	["An Actress"]
tt0001682	7	nm0071518	actor	\N	["A Clubman"]
tt0001682	8	nm0002177	director	director	\N
tt0001682	9	nm0581683	writer	scenario	\N
tt0002197	1	nm0681933	actress	\N	["Dora - the Orphan"]
tt0002197	2	nm0910400	actor	\N	["Dandy Jack"]
tt0002197	3	nm0000859	actor	\N	["Grizzly Fallon - Dandy Jack's Friend"]
tt0002197	4	nm0002503	actor	\N	["Bob Kyne - the Prospector"]
tt0002197	5	nm0537556	actor	\N	["The Bartender"]
tt0002197	6	nm0095695	actor	\N	["Man in Saloon"]
tt0002197	7	nm0262757	actor	\N	["Man in Saloon"]
tt0002197	8	nm0366008	actor	\N	["Stableboy"]
tt0002197	9	nm0504551	actor	\N	["Man in Saloon"]
tt0002197	10	nm0589494	actor	\N	["Man in Saloon"]
tt0002197	11	nm0000428	director	\N	\N
tt0002197	12	nm0000428	writer	\N	\N
tt0002197	13	nm0005658	cinematographer	\N	\N
tt0002545	1	nm0124279	actor	\N	["Silas Grant"]
tt0002545	2	nm0751325	actress	\N	["Mrs. Silas Grant"]
tt0002545	3	nm0832267	actress	\N	["Ruth"]
tt0002545	4	nm0537743	actor	\N	["Harry"]
tt0002804	1	nm0124279	actor	\N	["Young Monion"]
tt0002804	2	nm0922997	actress	\N	["Maud Mueller"]
tt0002804	3	nm0582212	actor	\N	["Mr. Monion"]
tt0003859	1	nm0355818	actress	\N	["Mrs. Binkley"]
tt0003859	2	nm0874139	actor	\N	["Jimmy Binkley"]
tt0003859	3	nm0867469	actor	\N	["John Rogers"]
tt0003859	4	nm0581653	actor	\N	["Mr. Binkley"]
tt0003859	5	nm0088267	actress	\N	["Mrs. Rogers"]
tt0003859	6	nm0509287	actor	\N	["John 'Slim' Rogers Jr."]
tt0003859	7	nm0509287	director	\N	\N
tt0003859	8	nm0509287	writer	story	\N
tt0003859	9	nm0666286	writer	play	\N
tt0004259	1	nm0698839	director	\N	\N
tt0004696	1	nm1576435	actor	\N	\N
tt0004696	2	nm0377053	director	\N	\N
tt0004696	3	nm0241416	writer	novel "Les trois mousquetaires"	\N
tt0005504	1	nm0728230	actress	\N	["Joan Bicester"]
tt0005504	2	nm0344059	actor	\N	["Steven Armitage"]
tt0005504	3	nm0104197	actor	\N	["Dan"]
tt0005504	4	nm0615139	actor	\N	["Duke"]
tt0005504	5	nm0184266	actor	\N	\N
tt0005504	6	nm0220702	actor	\N	["Undetermined role"]
tt0005504	7	nm0676621	actress	\N	["Undetermined role"]
tt0005504	8	nm0854771	actress	\N	["Undetermined role"]
tt0005504	9	nm0002061	director	\N	\N
tt0006008	1	nm0916665	actress	\N	["Daisy Dean"]
tt0006008	2	nm0806565	actor	\N	["William Wright"]
tt0006008	3	nm0432216	actor	\N	["Robert Gordon"]
tt0006008	4	nm0268422	actress	\N	["Susan"]
tt0006008	5	nm0612748	actor	\N	["John Austin"]
tt0006008	6	nm0860957	actress	\N	["Mrs. Wright Sr"]
tt0006008	7	nm0425161	actress	\N	["Mrs. Green"]
tt0006008	8	nm0556769	actor	\N	["Mr. Green"]
tt0006008	9	nm0560186	actress	\N	["Mrs. Wright"]
tt0006008	10	nm0452587	actress	\N	["Neighbors Little Girl"]
tt0006008	11	nm0806565	director	\N	\N
tt0006008	12	nm0916665	director	\N	\N
tt0006008	13	nm0916665	writer	scenario	\N
tt0006008	14	nm0165469	cinematographer	\N	\N
tt0006437	1	nm0842239	actress	\N	["Vera Maroff"]
tt0006437	2	nm0165134	actor	\N	["Warren Harcourt"]
tt0006437	3	nm0431414	actor	\N	["Mark Norton"]
tt0006437	4	nm0255420	actor	\N	["King"]
tt0006437	5	nm0139356	actor	\N	["Sergius Maroff"]
tt0006437	6	nm0514707	actor	\N	["Frederick Holtz"]
tt0006437	7	nm0938059	actress	\N	["Mary"]
tt0006437	8	nm0210352	director	\N	\N
tt0006437	9	nm0265572	writer	\N	\N
tt0006437	10	nm0210352	writer	\N	\N
tt0006437	11	nm0003546	cinematographer	cinematographer	\N
tt0007454	1	nm0425919	actor	\N	["D'Artagnan"]
tt0007454	2	nm0198272	actress	\N	["Queen Anne"]
tt0007454	3	nm0322170	actress	\N	["Miladi Winter"]
tt0007454	4	nm0164003	actor	\N	["Duke of Buckingham"]
tt0007454	5	nm0926191	actor	\N	["Cardinal Richelieu"]
tt0007454	6	nm0560785	actor	\N	["Count de Rochefort"]
tt0007454	7	nm0279508	actor	\N	["King Louis XIII"]
tt0007454	8	nm0593671	actress	\N	["Constance Bonacieux"]
tt0007454	9	nm0391128	actor	\N	["Athos"]
tt0007454	10	nm0448565	actor	\N	["Porthos"]
tt0007454	11	nm0842521	director	\N	\N
tt0007454	12	nm0241416	writer	novel "Les trois mousquetaires"	\N
tt0007454	13	nm0370271	writer	scenario	\N
tt0007454	14	nm0408436	producer	producer	\N
tt0007454	15	nm0637423	composer	\N	\N
tt0007454	16	nm0638210	composer	\N	\N
tt0007454	17	nm0006276	composer	composer	\N
tt0007454	18	nm0005682	cinematographer	\N	\N
tt0008123	1	nm0130788	actress	\N	["Mrs. Manning"]
tt0008123	2	nm0589995	actor	\N	["Mr. Manning"]
tt0008123	3	nm0717066	actress	\N	["Louise Manning"]
tt0008123	4	nm0642190	actor	\N	["Norton"]
tt0008123	5	nm0243640	actress	\N	\N
tt0008123	6	nm0806469	actor	\N	\N
tt0008123	7	nm0434469	actress	\N	\N
tt0008123	8	nm0349785	director	director	\N
tt0008123	9	nm0349785	writer	writer	\N
tt0008540	1	nm0848226	actress	\N	["Beatrix Vanderdyke"]
tt0008540	2	nm0115005	actor	\N	["Pelham Franklin"]
tt0008540	3	nm0290962	actor	\N	["Sutherland Yorke"]
tt0008540	4	nm0198167	actress	\N	["Ida Larpent"]
tt0008540	5	nm0416527	actor	\N	["Malcolm Fraser"]
tt0008540	6	nm0137416	actor	\N	["Mr. Vanderdyke"]
tt0008540	7	nm0201367	actress	\N	["Mrs. Vanderdyke"]
tt0008540	8	nm0272538	actress	\N	["Mrs. Keane"]
tt0008540	9	nm0316794	director	\N	\N
tt0008540	10	nm0357795	writer	novel	\N
tt0008540	11	nm0580648	writer	scenario	\N
tt0008540	12	nm0316794	writer	scenario	\N
tt0008540	13	nm0949593	cinematographer	\N	\N
tt0009544	1	nm0832458	actress	\N	["Alva Leigh"]
tt0009544	2	nm0643048	actor	\N	["Dick Randall"]
tt0009544	3	nm0507635	actor	\N	["'Sudden' Duncan"]
tt0009544	4	nm0050583	actress	\N	["Riger Lil"]
tt0009544	5	nm0921980	actor	\N	["Donald Jaffray"]
tt0009544	6	nm0115218	director	\N	\N
tt0009544	7	nm0595569	writer	novel "Hearts Steadfast"	\N
tt0009544	8	nm0444508	writer	scenario	\N
tt0009544	9	nm0662701	writer	scenario	\N
tt0009544	10	nm0860847	cinematographer	\N	\N
tt0010261	1	nm0365121	actress	\N	["Millicent Rankin"]
tt0010261	2	nm0254457	actor	\N	["Elmer Lacy"]
tt0010261	3	nm0181958	actor	\N	["John Deering"]
tt0010261	4	nm0783647	actress	\N	["Mrs. Deering"]
tt0010261	5	nm0188248	actor	\N	["William Rankin"]
tt0010261	6	nm0461438	actress	\N	["Mrs. William Rankin"]
tt0010261	7	nm0948308	actress	\N	["Beatrice Deering"]
tt0010261	8	nm0712730	actor	\N	["Tom Wallace"]
tt0010261	9	nm0916665	director	\N	\N
tt0010261	10	nm0916665	writer	screenplay	\N
tt0010391	1	nm0000779	actor	\N	["Fatty"]
tt0010391	2	nm0052217	actor	\N	["Farmhand"]
tt0010391	3	nm0371017	actor	\N	["Frank - Winnie's Father"]
tt0010391	4	nm0696985	actress	\N	["Kitty - the Cook"]
tt0010391	5	nm0820607	actor	\N	["Al Clove - Fatty's Rival"]
tt0010391	6	nm0923030	actress	\N	["Winnie"]
tt0012451	1	nm0199087	actress	\N	["Jane Morgan"]
tt0012451	2	nm0674741	actor	\N	["Thomas Butler Jr"]
tt0012451	3	nm0423424	actor	\N	["Thomas Butler Sr"]
tt0012451	4	nm0129923	actress	\N	["Mrs. Murray"]
tt0012451	5	nm0637423	actor	\N	["Hack De Long"]
tt0012451	6	nm0867118	actress	\N	["Aunt Martha"]
tt0012451	7	nm0528210	actress	\N	["Madge Lariane"]
tt0012451	8	nm0447043	actor	\N	["Detective"]
tt0012451	9	nm0589596	actor	\N	["Richard Van Loytor"]
tt0012451	10	nm0280205	director	\N	\N
tt0012451	11	nm0925213	writer	story	\N
tt0012451	12	nm0954654	writer	scenario	\N
tt0012451	13	nm0036507	cinematographer	\N	\N
tt0012752	1	nm0001196	actor	\N	["D'Artagnan"]
tt0012752	2	nm0207637	actor	\N	["Cardinal Richelieu"]
tt0012752	3	nm0797094	actor	\N	["Porthos"]
tt0012752	4	nm0657874	actor	\N	["Aramis"]
tt0012752	5	nm0579663	actor	\N	["Louis XIII"]
tt0012752	6	nm0533712	actress	\N	["Anne of Austria"]
tt0012752	7	nm0390366	actor	\N	["Duke of Buckingham"]
tt0012752	8	nm0209323	actress	\N	["Constance"]
tt0012752	9	nm0730170	actor	\N	["De Treville"]
tt0012752	10	nm0410352	actor	\N	["Rochefort"]
tt0012752	11	nm0629243	director	\N	\N
tt0012752	12	nm0241416	writer	by: "The Three Musketeers"	\N
tt0012752	13	nm0461241	writer	adapted by	\N
tt0012752	14	nm0940689	writer	scenario editor	\N
tt0012752	15	nm0332045	composer	composer	\N
tt0012752	16	nm0249186	cinematographer	cinematographer	\N
tt0012752	17	nm0556882	editor	film editor	\N
tt0013059	1	nm0690702	actress	\N	["The Princess of Illyria"]
tt0013059	2	nm0582544	actor	\N	["The Prince of Denmark"]
tt0013059	3	nm0421988	actor	\N	["The King"]
tt0013059	4	nm0014242	actor	\N	["Kasper Røghat"]
tt0013059	5	nm2542787	actor	\N	["Frier"]
tt0013059	6	nm2542868	actress	\N	["Hofdame"]
tt0013059	7	nm2562209	actress	\N	["Doktor Dorthe"]
tt0013059	8	nm0486791	actress	\N	["Hofdame"]
tt0013059	9	nm2542828	actor	\N	["Frier"]
tt0013059	10	nm2560876	actor	\N	["Kulsivieren"]
tt0013059	11	nm0003433	director	\N	\N
tt0013059	12	nm0236626	writer	play	\N
tt0013059	13	nm0003433	writer	\N	\N
tt0013059	14	nm0742633	writer	\N	\N
tt0013059	15	nm1319432	producer	producer	\N
tt0013059	16	nm0774256	cinematographer	\N	\N
tt0013059	17	nm0003433	editor	\N	\N
tt0013059	18	nm0360768	editor	\N	\N
tt0015042	1	nm0782837	actor	\N	\N
tt0015042	2	nm0605299	actress	\N	\N
tt0015042	3	nm7472347	actor	\N	\N
tt0015042	4	nm1800105	actress	\N	\N
tt0015042	5	nm1698845	actor	\N	\N
tt0015042	6	nm2749076	actress	\N	\N
tt0015042	7	nm1596508	actor	\N	\N
tt0015042	8	nm0455938	director	\N	\N
tt0015042	9	nm1803842	cinematographer	\N	\N
tt0018033	1	nm0001966	actress	\N	["Betty Lou"]
tt0018033	2	nm0603875	actor	\N	["Cyrus T. Waltham"]
tt0018033	3	nm0042552	actor	\N	["'Monty' Montgomery"]
tt0018033	4	nm0094924	actress	\N	["Molly"]
tt0018033	5	nm0300615	actress	\N	["Adela Van Norman"]
tt0018033	6	nm0330352	actress	\N	["Mrs. Van Norman"]
tt0018033	7	nm0323325	actress	\N	["Madame Elinor Glyn"]
tt0018033	8	nm0082468	actor	\N	["Office Boy"]
tt0018033	9	nm0000011	actor	\N	["Newspaper Reporter"]
tt0018033	10	nm0180987	actor	\N	["Yacht Cabin Boy"]
tt0018033	11	nm0046082	director	director	\N
tt0018033	12	nm0323325	writer	story and adaptation	\N
tt0018033	13	nm0521002	writer	screen play	\N
tt0018033	14	nm0510024	writer	screen play	\N
tt0018033	15	nm0547938	writer	titles	\N
tt0018033	16	nm0002206	producer	producer	\N
tt0018033	17	nm0318647	producer	producer	\N
tt0018033	18	nm0002301	composer	composer	\N
tt0018033	19	nm0675356	composer	composer	\N
tt0018033	20	nm0552372	cinematographer	cinematographer	\N
tt0018033	21	nm0791014	editor	editor	\N
tt0018107	1	nm0318105	actor	\N	["Vronsky"]
tt0018107	2	nm0001256	actress	\N	["Anna Karenina"]
tt0018107	3	nm0269493	actor	\N	["Grand Duke"]
tt0018107	4	nm0280605	actress	\N	["Grand Duchess"]
tt0018107	5	nm0403582	actor	\N	["Karenin"]
tt0018107	6	nm0209462	actor	\N	["Serezha - Anna's Child"]
tt0018107	7	nm0086061	actor	\N	["Cavalryman"]
tt0018107	8	nm0173920	actress	\N	["Marfa - Hostess at Inn"]
tt0018107	9	nm0175067	actor	\N	["Priest"]
tt0018107	10	nm0189234	actor	\N	["Party Guest"]
tt0018107	11	nm0332539	director	\N	\N
tt0018107	12	nm0866243	writer	from the novel "Anna Karenina"	\N
tt0018107	13	nm0014703	writer	titles	\N
tt0018107	14	nm0191956	writer	titles	\N
tt0018107	15	nm0332539	producer	producer	\N
tt0018107	16	nm1374625	composer	composer	\N
tt0018107	17	nm0200125	cinematographer	cinematographer	\N
tt0018107	18	nm0943969	editor	film editor	\N
tt0019320	1	nm0003123	actress	\N	["Rascha"]
tt0019320	2	nm0546121	actor	\N	["Costa"]
tt0019320	3	nm0651017	actress	\N	["Binka"]
tt0019320	4	nm0556813	actor	\N	["Jorga"]
tt0019320	5	nm0136892	actress	\N	["Tina"]
tt0019320	6	nm0187510	actor	\N	["Stefan"]
tt0019320	7	nm0032221	actor	\N	["Jancu"]
tt0019320	8	nm0325462	actress	\N	["Leana"]
tt0019320	9	nm0146886	actor	\N	["Lt. De Jorga"]
tt0019320	10	nm0136888	director	\N	\N
tt0019320	11	nm0073393	writer	story "The Bear Tamer's Daughter"	\N
tt0019320	12	nm0288986	writer	screenplay	\N
tt0019320	13	nm0136888	producer	producer	\N
tt0019320	14	nm0006252	composer	\N	\N
tt0019320	15	nm0337584	cinematographer	cinematographer	\N
tt0019320	16	nm0005764	cinematographer	\N	\N
tt0019320	17	nm0817979	editor	\N	\N
tt0020367	1	nm0478851	actress	\N	["Laura Hunt"]
tt0020367	2	nm0330265	actor	\N	["Burke Innes"]
tt0020367	3	nm0092900	actor	\N	["Maurice"]
tt0020367	4	nm0936079	actress	\N	["Vera"]
tt0020367	5	nm0330352	actress	\N	["Mrs. Grant"]
tt0020367	6	nm0680376	actor	\N	["Pancho"]
tt0020367	7	nm0057184	actress	\N	["Janet"]
tt0020367	8	nm0017044	actor	\N	["Bit Role"]
tt0020367	9	nm0749484	director	\N	\N
tt0020367	10	nm0031033	writer	titles	\N
tt0020367	11	nm0715723	writer	dialogue	\N
tt0020367	12	nm0774539	writer	adaptation	\N
tt0020367	13	nm0820700	writer	story "The Haunted Lady"	\N
tt0020367	14	nm0213842	producer	producer	\N
tt0020367	15	nm0913084	cinematographer	\N	\N
tt0020367	16	nm0193568	editor	\N	\N
tt0020367	17	nm0686090	editor	\N	\N
tt0020369	1	nm0456003	actress	\N	["Vera Kosenko - Tram Driver"]
tt0020369	2	nm6624392	actor	\N	["Alexei - Driver"]
tt0020369	3	nm0345558	actor	\N	["House Manager - Former Owner of the House"]
tt0020369	4	nm0438175	actor	\N	["Hairdresser"]
tt0020369	5	nm11443109	actor	\N	["Penkov"]
tt0020369	6	nm2850623	actress	\N	["Zubtsova - Market Seller"]
tt0020369	7	nm12405031	actress	\N	["Dyrkina - Captain's Wife"]
tt0020369	8	nm9292628	actress	\N	["Yukhina - Merin's Lover"]
tt0020369	9	nm0945011	actress	\N	["Penkova - Bourgeois"]
tt0020369	10	nm0260607	actor	\N	["Zubtsova's Son Sashka - Hooligan"]
tt0020369	11	nm0673375	director	\N	\N
tt0020369	12	nm6624393	writer	writer	\N
tt0020369	13	nm0822346	cinematographer	\N	\N
tt0020369	14	nm0471144	production_designer	\N	\N
tt0020369	15	nm0840475	production_designer	\N	\N
tt0023679	1	nm0002161	actor	\N	["Heini Gildemeister"]
tt0023679	2	nm0561276	actress	\N	["Gerda Gildemeister"]
tt0023679	3	nm0000048	actor	\N	["Hunchback"]
tt0023679	4	nm0405828	actress	\N	["Gildemeister's Mother"]
tt0023679	5	nm0902721	actress	\N	["Dora Lind"]
tt0023679	6	nm0002154	actor	\N	["Gorre"]
tt0023679	7	nm0770305	actor	\N	["Gorre's Son"]
tt0023679	8	nm0039517	actor	\N	["Dr. Urusew"]
tt0023679	9	nm0902702	actor	\N	["Marquis d'Esquillon"]
tt0023679	10	nm0067163	actor	\N	\N
tt0023679	11	nm0314777	director	\N	\N
tt0023679	12	nm0563030	writer	\N	\N
tt0023679	13	nm0954135	writer	writer	\N
tt0023679	14	nm0005971	composer	\N	\N
tt0023679	15	nm0389155	cinematographer	\N	\N
tt0023679	16	nm0585279	editor	\N	\N
tt0023746	1	nm1508894	actress	\N	["Setsuko, the lover"]
tt0023746	2	nm1263070	actor	\N	["Murata, the doctor"]
tt0023746	3	nm1603636	actor	\N	["Hideo, son of Murata"]
tt0023746	4	nm0645409	actress	\N	["Machiko, daughter of Murata"]
tt0023746	5	nm0462069	actor	\N	["Konishi, the teacher"]
tt0023746	6	nm0757104	actor	\N	["Matsuoka, the writer"]
tt0023746	7	nm0849439	actor	\N	["Seikichi, the rickshaw puller"]
tt0023746	8	nm0442848	actor	\N	["Yoshika, the rich man"]
tt0023746	9	nm0407329	actress	\N	["Landlady"]
tt0023746	10	nm0644841	actor	\N	\N
tt0023746	11	nm0331482	director	\N	\N
tt0023746	12	nm0299343	writer	screenplay	\N
tt0023746	13	nm0644938	cinematographer	\N	\N
tt0024631	1	nm0001479	actress	\N	["Roma Courtney"]
tt0024631	2	nm0000068	actor	\N	["Grant Wilson"]
tt0024631	3	nm0003062	actor	\N	["Paul Bavian"]
tt0024631	4	nm0651754	actress	\N	["Ruth Rogen"]
tt0024631	5	nm0912478	actor	\N	["Dr. Carl Houston"]
tt0024631	6	nm0580240	actress	\N	["Madame Gourjan - Paul's Landlady"]
tt0024631	7	nm0267912	actor	\N	["Nick 'Nicky' Hammond"]
tt0024631	8	nm0732062	actor	\N	["Prison Warden"]
tt0024631	9	nm0531232	actor	\N	["Max Schmitt - Glass Blower"]
tt0024631	10	nm0931208	actor	\N	["Ghost of John Courtney"]
tt0024631	11	nm0356931	director	\N	\N
tt0024631	12	nm0922951	writer	story	\N
tt0024631	13	nm0857710	writer	writer	\N
tt0024631	14	nm0549217	writer	writer	\N
tt0024631	15	nm0356922	producer	producer	\N
tt0024631	16	nm0356931	producer	producer	\N
tt0024631	17	nm0553339	cinematographer	\N	\N
tt0024663	1	nm0611804	actor	\N	["Clancy"]
tt0024663	2	nm0369058	actor	\N	["Renard"]
tt0024663	3	nm0124287	actor	\N	["Dutch Schmidt"]
tt0024663	4	nm0000078	actor	\N	["Tom Wayne"]
tt0024663	5	nm0356073	actress	\N	["Elaine Corday"]
tt0024663	6	nm0001033	actor	\N	["Armand Corday"]
tt0024663	7	nm0040341	actor	\N	["El Kadur"]
tt0024663	8	nm0210016	actor	\N	["Col. Duval"]
tt0024663	9	nm0292537	actor	\N	["Maj. Booth"]
tt0024663	10	nm0000890	actor	\N	["Stubbs"]
tt0024663	11	nm0163786	director	\N	\N
tt0024663	12	nm0769585	director	\N	\N
tt0024663	13	nm0241416	writer	story source	\N
tt0024663	14	nm0355963	writer	story and screenplay	\N
tt0024663	15	nm0163786	writer	story and screenplay	\N
tt0024663	16	nm0765036	writer	story and screenplay	\N
tt0024663	17	nm0006343	composer	\N	\N
tt0024663	18	nm0302932	cinematographer	\N	\N
tt0024663	19	nm0588316	cinematographer	\N	\N
tt0024663	20	nm0811538	editor	\N	\N
tt0026129	1	nm0612847	actor	\N	["Johnny Ramirez"]
tt0026129	2	nm0000012	actress	\N	["Marie Roark"]
tt0026129	3	nm0512267	actress	\N	["Dale Elwell"]
tt0026129	4	nm0657874	actor	\N	["Charlie Roark"]
tt0026129	5	nm0056719	actor	\N	["Padre"]
tt0026129	6	nm0423054	actress	\N	["Mrs. Ramirez"]
tt0026129	7	nm0146928	actor	\N	["Harry"]
tt0026129	8	nm0330200	actor	\N	["Brook Manville"]
tt0026129	9	nm0203527	actor	\N	["Dr. Carter"]
tt0026129	10	nm0831736	actor	\N	["Manuel Diego"]
tt0026129	11	nm0562845	director	director	\N
tt0026129	12	nm0236418	writer	screen play	\N
tt0026129	13	nm0810290	writer	screen play	\N
tt0026129	14	nm0520501	writer	story	\N
tt0026129	15	nm0333958	writer	suggested by: Carroll Graham's novel	\N
tt0026129	16	nm0309974	cinematographer	cinematographer	\N
tt0026129	17	nm0724360	editor	editor	\N
tt0027099	1	nm0008496	actor	\N	["d'Artagnan"]
tt0027099	2	nm0510134	actor	\N	["Athos"]
tt0027099	3	nm0334375	actress	\N	["Milady de Winter"]
tt0027099	4	nm0029456	actress	\N	["Constance"]
tt0027099	5	nm0445246	actor	\N	["de Rochefort"]
tt0027099	6	nm0647752	actor	\N	["Porthos"]
tt0027099	7	nm0828668	actor	\N	["Aramis"]
tt0027099	8	nm0683877	actress	\N	["Queen Anne"]
tt0027099	9	nm0702798	actor	\N	["Planchet"]
tt0027099	10	nm0285391	actor	\N	["Duke of Buckingham"]
tt0027099	11	nm0498174	director	\N	\N
tt0027099	12	nm0629580	writer	screen play	\N
tt0027099	13	nm0498174	writer	screen play	\N
tt0027099	14	nm0241416	writer	from the novel by	\N
tt0027099	15	nm0000070	composer	\N	\N
tt0027099	16	nm0549132	cinematographer	cinematographer	\N
tt0027099	17	nm0387000	editor	\N	\N
tt0028478	1	nm0000472	actor	\N	["John Elman"]
tt0028478	2	nm0007220	actor	\N	["Nolan"]
tt0028478	3	nm0350324	actor	\N	["Dr. Evan Beaumont"]
tt0028478	4	nm0161451	actress	\N	["Nancy"]
tt0028478	5	nm0401478	actor	\N	["Jimmy"]
tt0028478	6	nm0533692	actor	\N	["Loder"]
tt0028478	7	nm0642180	actor	\N	["District Attorney Werner"]
tt0028478	8	nm0454870	actor	\N	["Judge Roger Shaw"]
tt0028478	9	nm0723935	actor	\N	["Prison Warden"]
tt0028478	10	nm0367670	actor	\N	["Blackstone"]
tt0028478	11	nm0002031	director	\N	\N
tt0028478	12	nm0011485	writer	screen play	\N
tt0028478	13	nm0590361	writer	screen play	\N
tt0028478	14	nm0028826	writer	screen play	\N
tt0028478	15	nm0371771	writer	screen play	\N
tt0028478	16	nm0005803	cinematographer	cinematographer	\N
tt0028478	17	nm0695554	editor	film editor	\N
tt0030083	1	nm0045030	actor	\N	["Aleksej"]
tt0030083	2	nm0953610	actress	\N	\N
tt0030083	3	nm0003540	actor	\N	["Beta, an Ossetian"]
tt0030083	4	nm0443508	actor	\N	\N
tt0030083	5	nm0202441	actor	\N	\N
tt0030083	6	nm0083643	actress	\N	\N
tt0030083	7	nm0096835	actor	\N	\N
tt0030083	8	nm0623378	actor	\N	\N
tt0030083	9	nm0695766	actress	\N	\N
tt0030083	10	nm0301150	actor	\N	\N
tt0030083	11	nm0036769	director	\N	\N
tt0030083	12	nm0036769	writer	writer	\N
tt0030083	13	nm0863142	writer	writer	\N
tt0030083	14	nm0006291	composer	\N	\N
tt0030083	15	nm0710792	cinematographer	\N	\N
tt0030083	16	nm0837735	editor	\N	\N
tt0030083	17	nm0904477	production_designer	\N	\N
tt0030625	1	nm0533692	actor	\N	["Joaquin Shannon"]
tt0030625	2	nm0268225	actress	\N	["Jean Fenderson"]
tt0030625	3	nm0403636	actor	\N	["Soapy"]
tt0030625	4	nm0601073	actress	\N	["Maria Shannon"]
tt0030625	5	nm0668023	actor	\N	["Joe Fenderson"]
tt0030625	6	nm0531705	actor	\N	["Chris Nelson"]
tt0030625	7	nm0000955	actor	\N	["Big Red Kincaid"]
tt0030625	8	nm0882322	actor	\N	["Warden"]
tt0030625	9	nm0453081	actor	\N	["Fenderson"]
tt0030625	10	nm0201227	actor	\N	["Cappy"]
tt0030625	11	nm0523893	director	\N	\N
tt0030625	12	nm0662526	writer	screenplay	\N
tt0030625	13	nm0202590	writer	screenplay	\N
tt0030625	14	nm0139884	producer	producer	\N
tt0030625	15	nm0656393	composer	\N	\N
tt0030625	16	nm0764387	composer	\N	\N
tt0030625	17	nm0627060	cinematographer	\N	\N
tt0030625	18	nm0644697	editor	\N	\N
tt0032028	1	nm0000747	actor	\N	["D'Artagnan"]
tt0032028	2	nm1360648	actor	\N	["Three Lackeys"]
tt0032028	3	nm0001931	actress	\N	["Milady De Winter"]
tt0032028	4	nm0001784	actress	\N	["Queen"]
tt0032028	5	nm0601733	actress	\N	["Lady Constance"]
tt0032028	6	nm0771584	actor	\N	["King"]
tt0032028	7	nm0001017	actor	\N	["Naveau"]
tt0032028	8	nm0041172	actor	\N	["De Rochefort"]
tt0032028	9	nm0541766	actor	\N	["Cardinal Richelieu"]
tt0032028	10	nm0241523	actor	\N	["Athos"]
tt0032028	11	nm0245385	director	\N	\N
tt0032028	12	nm0615842	writer	screenplay by	\N
tt0032028	13	nm0237033	writer	screenplay	\N
tt0032028	14	nm0474657	writer	special material	\N
tt0032028	15	nm0325482	writer	special material	\N
tt0032028	16	nm0549132	cinematographer	cinematographer	\N
tt0032028	17	nm0219468	editor	\N	\N
tt0032455	1	nm0831439	self	\N	["Self - Conductor of The Philadelphia Orchestra"]
tt0032455	2	nm0852252	self	\N	["Self - Narrative Introductions"]
tt0032455	3	nm1727756	self	\N	["Themselves"]
tt0032455	4	nm0123553	actor	\N	["Narrator: Deems Taylor overdubs (2000 restoration)"]
tt0032455	5	nm0123553	actor	\N	["Narrator: Deems Taylor overdubs (2000 restoration)"]
tt0032455	6	nm0000370	actor	\N	["Mickey Mouse (segment 'The Sorcerer's Apprentice')"]
tt0032455	7	nm0000370	actor	\N	["Mickey Mouse (segment 'The Sorcerer's Apprentice')"]
tt0032455	8	nm0235079	actor	\N	["Narrator (1982 version)"]
tt0032455	9	nm0235079	actor	\N	["Narrator (1982 version)"]
tt0032455	10	nm0531763	actor	\N	["Percussionist"]
tt0032455	11	nm0001513	actor	\N	["Narrator (1985 version)"]
tt0032455	12	nm0001513	actor	\N	["Narrator (1985 version)"]
tt0032455	13	nm0637163	actress	\N	["Soloist (segment 'Ave Maria')"]
tt0032455	14	nm0637163	actress	\N	["Soloist (segment 'Ave Maria')"]
tt0032455	15	nm1345229	actor	\N	["Violinist"]
tt0032455	16	nm0335469	writer	story direction	\N
tt0032455	17	nm0400056	writer	story direction	\N
tt0032455	18	nm0086293	writer	story development	\N
tt0032455	19	nm0687624	writer	story development	\N
tt0034928	1	nm0754942	actor	\N	["Mowgli"]
tt0034928	2	nm0130407	actor	\N	["Buldeo"]
tt0034928	3	nm0702798	actor	\N	["The Barber"]
tt0034928	4	nm0700084	actor	\N	["The Pundit"]
tt0034928	5	nm0213619	actress	\N	["Messua"]
tt0034928	6	nm0642571	actress	\N	["Mahala"]
tt0034928	7	nm0126049	actor	\N	["Durga"]
tt0034928	8	nm0558455	actor	\N	["Rao"]
tt0034928	9	nm0111623	actress	\N	["English Girl"]
tt0034928	10	nm0425903	actor	\N	["Sikh"]
tt0034928	11	nm0466113	director	\N	\N
tt0034928	12	nm0821716	writer	adaptation	\N
tt0034928	13	nm0466099	producer	producer	\N
tt0034928	14	nm0000067	composer	composer	\N
tt0034928	15	nm0005716	cinematographer	director of photography	\N
tt0034928	16	nm0338946	cinematographer	director of photography	\N
