title,rating,ratingDescription,release year,user rating score,user rating size,title_normalized,is_top_1000,titleType,isAdult,runtimeMinutes,genres,averageRating,numVotes,seasonNumber,episodeNumber,actors_list,directors_names,writers_names,success_score
californication,tv-ma,110,True,63.0,80,californication,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
portlandia,tv-14,90,True,62.0,80,portlandia,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
don't trust the b---- in apartment 23,tv-14,90,True,,82,don't trust the b---- in apartment 23,False,tvseries,False,22,comedy,7.3,41766,,,"krysten ritter,ray ford,jennie pierson,nahnatchka khan","michael spiller,wendey stanzler,david hemingson,chris koch,fred goss,gail mancuso,jeffrey walker,rebecca asher,nanette burstein,henry chan,aundre johnson,victor nelli jr.,lev l. spiro,jason winer,stuart bass,nahnatchka khan,michael mcdonald","billy finnegan,nahnatchka khan,jeff chiang,tina kil,eric ziobrowski,dave horwitz,marisa pinson,sally bradford,casey johnson,david windsor,laura mccreary,corey nickerson,david hemingson,erik durbin",77.67099138112026
friends with benefits,tv-14,90,True,,82,friends with benefits,False,tvseries,False,21,comedy,6.5,3545,,,"camille guaty,justin bruening,scott neustadter,michael h. weber","fred savage,tricia brock,jay chandrasekhar,david dobkin,eyal gordin,rob greenberg,reginald hudlin,michael patrick jann,joanna kerns,john putch,david rogers,ira ungerleider","scott neustadter,michael h. weber,isaac aptaker,elizabeth berger,valerie breiman,owen ellickson,daley haggar,brian keith etheridge,gene hong,claudia lonow",53.12824066312199
friends with benefits,tv-14,90,True,,82,friends with benefits,False,movie,False,109,"comedy,romance",6.5,410417,,,"jenna elfman,nolan gould,shaun white,will gluck,keith merryman,david a. newman,harley peyton,janet zucker,tia nolan",will gluck,"keith merryman,david a. newman,will gluck,harley peyton",84.01205430491909
friends with benefits,tv-14,90,True,,82,friends with benefits,False,video,True,98,"adult,drama,romance",5.3,8,,,francois clousot,francois clousot,unknown,11.645290259881964
friends with benefits,tv-14,90,True,,82,friends with benefits,False,tvepisode,False,30,talk-show,7.8,6,,,unknown,unknown,unknown,15.178099162631442
friends with benefits,tv-14,90,True,,82,friends with benefits,False,tvepisode,True,30,adult,7.8,6,5,33,unknown,unknown,unknown,15.178099162631442
the client list,tv-14,90,True,92.0,80,the client list,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
halt and catch fire,tv-14,90,True,,82,halt and catch fire,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
5 to 7,r,100,True,,82,5 to 7,False,movie,False,95,"comedy,drama,romance",7.1,21958,,,"bérénice marlohe,david shannon,milo mungier jacob,brune de drueille senecterre,alan gilbert,julian bond,victor levin",victor levin,victor levin,70.97821973644653
chef's table,tv-ma,110,True,,82,chef's table,False,tvepisode,True,30,adult,7.8,6,,,liz rainbow,unknown,unknown,15.178099162631442
documentary now!,tv-14,90,True,,82,documentary now!,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
better call saul,tv-ma,110,True,95.0,80,better call saul,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
schitt's creek,tv-14,90,True,74.0,80,schitt's creek,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
lovesick,tv-ma,110,True,,82,lovesick,False,movie,False,93,"drama,romance",4.8,321,,,"rebecca gibson,fred penner,sara thompson,tyson caron,matthew schellenberg",tyson caron,tyson caron,27.71784741861316
lovesick,tv-ma,110,True,,82,lovesick,False,short,False,30,"comedy,short",7.8,6,,,nina concepción,nina concepción,nina concepción,15.178099162631442
flaked,tv-ma,110,True,,82,flaked,False,tvseries,False,30,"comedy,drama,romance",7.2,12882,,,"will arnett,ruth kearney,george basil,travis mills,mark chappell","wally pfister,tom dicillo,josh gordon,will speck,benjamin berman,michael patrick jann,will arnett,mark chappell","will arnett,mark chappell,nikki schiefelbein,mehar sethi,bobby bowman,evan mann,gareth reynolds,maggie rowe,james vallely",68.13838002089898
master of none,tv-ma,110,True,,82,master of none,False,tvseries,False,30,"comedy,drama",8.2,77735,,,"aziz ansari,eric wareheim,lena waithe,noël wells,alessandra mastronardi,shoukath ansari,alan yang","aziz ansari,eric wareheim,james ponsoldt,lynn shelton,melina matsoukas,alan yang","aziz ansari,alan yang,zoe jarman,sarah peters,cord jefferson,lena waithe,aniz adam ansari,andy blitz,joe mande,harris wittels,sarah schneider,lakshmi sundaram",92.34080474605804
chelsea,tv-ma,110,True,,82,chelsea,False,tvepisode,False,30,unknown,7.8,6,,,unknown,unknown,unknown,15.178099162631442
abstract: the art of design,tv-14,90,True,,82,abstract: the art of design,False,tvseries,False,45,documentary,8.3,6091,,,"cas holman,ian spalter,tiffany beers,mark parker,michael hainey,elizabeth semmelhack","morgan neville,brian oakes,elizabeth chai vasarhelyi,richard press,sarina roma,scott dadich,claudia woloshin,jason zeldes",chris chuang,72.33227322632494
cooper barrett's guide to surviving life,tv-14,90,True,,82,cooper barrett's guide to surviving life,False,tvseries,False,30,comedy,6.3,1668,,,"meaghan rath,marshall manesh,kimberly jeppson,jay lacopo","james griffiths,henry chan,adam davidson,jeremy garelick,jeff melman,bill purple,matt sohn,phil traill","jay lacopo,donald diego,john blickstead,trey kollmer,bill callahan,paul mather,amelie gillette,chuck hayward,brian rubenstein",46.745873519069555
the great british baking show,tv-pg,70,True,94.0,80,the great british baking show,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
life in pieces,tv-14,90,True,68.0,80,life in pieces,False,tvseries,False,22,comedy,8.0,18304,,,"betsy brandt,thomas sadoski,dan bakkedahl,angelique cabral,niall cunningham,holly j. barrett,giselle eisenberg,justin adler","jason winer,chad lowe,jonathan judge,ken whittingham,alisa statman,james alan hensz,eric dean seaton,natalia anderson,phil traill,alex reid,jude weng,john riggi,jaffar mahmood,justin adler,melissa kosar,rebecca asher,helen hunt,linda mendoza,jeremy garelick,fred goss,claire scanlon,angela barnes,chris koch,jeffrey walker,beth mccarthy-miller,marcus stokes,jaime eliezer karas","justin adler,joe cristalli,maggie mull,kyle mack,liz hara,max saltarelli,nadiya chettiar,barbie adler,brad copeland,elizabeth tippet,lesley wake,greg malins,dave jeser,matt silverstein,jordan young,kirker butler,alec sulkin,marcos luevanos,rolin jones,sarah tapscott,jason belleville,danielle hoover,david monahan,ilana wernick",78.5194362044347
crazy ex-girlfriend,tv-14,90,True,,82,crazy ex-girlfriend,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
easy,tv-ma,110,True,,82,easy,False,tvseries,False,30,comedy,6.9,15847,,,"elizabeth reaser,jacqueline toboni,suzanne adent,lucas von kampen,kiersey clemons,joe swanberg",joe swanberg,joe swanberg,66.72851025981088
easy,tv-ma,110,True,,82,easy,False,short,False,31,short,7.8,6,,,"theo bat schandorff,kim koch",theo bat schandorff,"kim koch,theo bat schandorff",15.178099162631442
no tomorrow,tv-14,90,True,,82,no tomorrow,False,tvseries,False,43,"comedy,drama,romance",7.2,5480,,,"joshua sasse,tori anderson,jesse rath,george basil,marta milans,corinne brinkerhoff,scott mccabe,tory stanton","stuart gillard,allan arkush,ami canaan mann,anna mastro,jeff melman,john putch,michael schultz,brad silberling,ron underwood,greg beeman,gregory prange","corinne brinkerhoff,alexandre machado,fernanda young,scott mccabe,tory stanton,gracie glassmeyer,justin w. lo,richard hatem,jessica chou,anna fisher,maggie friedman,aaron fullerton,bill krebs,jenna lamia,andrew gettens,lauren mackenzie",61.985108484332045
no tomorrow,tv-14,90,True,,82,no tomorrow,False,movie,False,88,"crime,drama,mystery",6.3,90,,,"ji-seung lee,jae-il jang,dong hwan han,jo hyung-rae",ji-seung lee,"jae-il jang,ji-seung lee",28.418414891056152
no tomorrow,tv-14,90,True,,82,no tomorrow,False,movie,False,30,unknown,7.8,6,,,unknown,unknown,unknown,15.178099162631442
minimalism: a documentary about the important things,tv-pg,70,True,,82,minimalism: a documentary about the important things,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
hot girls wanted: turned on,tv-ma,110,True,,82,hot girls wanted: turned on,False,tvminiseries,False,40,documentary,6.6,2449,,,erika lust,"jill bauer,ronna gradus,peter logreco,sandra c. alvarez,rashida jones","nilxius,jill bauer,ronna gradus,rashida jones",51.50536580335589
win it all,tv-ma,110,True,,82,win it all,False,movie,False,88,comedy,6.2,10439,,,"jake johnson,rony shemon,morgan ng,adrian jasso,jude swanberg,nicky excitement,joe swanberg,dan romer,eon mora",joe swanberg,"jake johnson,joe swanberg",57.37107914090711
merlì?,tv-pg,70,True,,82,merlì?,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
amy schumer: the leather special,tv-ma,110,True,,82,amy schumer: the leather special,False,tvspecial,False,57,comedy,3.2,10795,,,"amy schumer,michael schultz",amy schumer,amy schumer,29.718179117241267
louis c.k. 2017,tv-ma,110,True,71.0,80,louis c.k. 2017,False,tvspecial,False,74,comedy,7.6,11080,,,louis c.k.,louis c.k.,louis c.k.,70.77870278791607
dave chappelle,tv-ma,110,True,94.0,80,dave chappelle,False,tvseries,False,66,"comedy,documentary",8.6,3164,,,dave chappelle,unknown,unknown,69.31521167737317
almost adults,nr,124,True,,82,almost adults,False,movie,False,90,"comedy,drama",5.6,3213,,,"natasha negovanlis,justin gerhard,winny clarke,pujaa pandey,david john phillips,raechele lovell,daryl marks,sarah rotella,adrianna dilonardo,rebecca swift,arun chaturvedi,luke mcmaster",sarah rotella,adrianna dilonardo,45.221520659265764
the brothers,r,100,True,,82,the brothers,False,movie,False,106,"comedy,drama,romance",6.3,5244,,,"shemar moore,d.l. hughley,gabrielle union,gary hardwick,darin scott",gary hardwick,gary hardwick,53.959692281231504
the brothers,r,100,True,,82,the brothers,False,tvepisode,False,30,"action,comedy,crime",7.5,51,1,1,"john t. kretchmer,evan katz,ross albert,ellie kanner,patrick tatopoulos",john t. kretchmer,evan katz,29.634327889360705
skins,tv-ma,110,True,,82,skins,False,tvepisode,False,12,"animation,comedy",6.5,118,10,6,"rob kutner,dave willis,matt maiellaro","matt maiellaro,dave willis","matt maiellaro,dave willis",31.064302705224943
the cleveland show,tv-14,90,True,88.0,80,the cleveland show,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
absolutely fabulous,tv-14,90,True,59.0,80,absolutely fabulous,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
raising hope,tv-14,90,True,73.0,80,raising hope,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
come fly with me,tv-14,90,True,,82,come fly with me,False,tvseries,False,29,comedy,7.5,10500,,,"matt lucas,david walliams,joe cole,rebecca humphries",paul king,"kevin cecil,matt lucas,andy riley,david walliams",69.44419327279495
brickleberry,tv-ma,110,True,63.0,80,brickleberry,False,tvepisode,False,30,comedy,7.8,6,5,7,chris lee moore,chris lee moore,chris lee moore,15.178099162631442
bojack horseman,tv-ma,110,True,,82,bojack horseman,False,tvepisode,False,30,"animation,comedy,horror",7.8,6,,,steve simpson,unknown,unknown,15.178099162631442
being mary jane: the series,tv-14,90,True,,82,being mary jane: the series,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
unbreakable kimmy schmidt,tv-14,90,True,,82,unbreakable kimmy schmidt,False,tvepisode,False,30,talk-show,7.8,6,2,5,"jonn blanchard,stuart lawson",jonn blanchard,"jonn blanchard,stuart lawson",15.178099162631442
bordertown,tv-14,90,True,86.0,80,bordertown,False,tvseries,False,21,"animation,comedy",5.5,3369,,,"hank azaria,nicholas gonzalez,judah friedlander,alex borstein,stephanie escajeda,john viener,zach villa,mark hentemann","bob bowen,jacob hair,albert calleros,oreste canestrelli,ray claffey,gavin dell,jack perkins","kenny byerly,mark hentemann,michael kennedy,vanessa ramos,jon silberman,josh silberman,nathaniel stein,isaac gonzalez,jason reich,lalo alcaraz,susan hurwitz arneson,gustavo arellano,alex carter,valentina garza,bj porter,dan vebber,joel hurwitz",44.674674128405236
bordertown,tv-14,90,True,86.0,80,bordertown,False,tvseries,False,60,"crime,drama,mystery",7.6,12895,,,"ville virtanen,anu sinisalo,lenita susi,matti laine,jasmin hamid,max bremer,miikko oikkonen","juuso syrjä,jyri kähönen,miikko oikkonen,jussi hiltunen,marko mäkilaakso","miikko oikkonen,antti pesonen,atro lahtela,matti laine,paula mononen,sanna reinumägi",71.93151073207271
bordertown,tv-14,90,True,86.0,80,bordertown,False,short,False,5,"documentary,history,short",7.8,6,,,"syaiful halim,terrizqo arief sutansyah",syaiful halim,"terrizqo arief sutansyah,syaiful halim,arlin nurshopiana",15.178099162631442
jane the virgin,tv-14,90,True,91.0,80,jane the virgin,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
dope,r,100,True,79.0,80,dope,False,tvepisode,False,30,comedy,7.8,6,5,22,"matthew festle,jackson turner","matthew festle,jackson turner","matthew festle,jackson turner",15.178099162631442
dope,r,100,True,79.0,80,dope,False,movie,False,103,"adventure,comedy,crime",7.2,90732,,,"shameik moore,tony revolori,kiersey clemons,a$ap rocky,blake anderson,bruce beatty,de'aundre bonds,julian brand,quincy brown,rick famuyiwa,nina yang bongiovi,rachel morrison,lee haugen,scott falconer",rick famuyiwa,rick famuyiwa,82.19287012863857
dope,r,100,True,79.0,80,dope,False,video,False,30,short,7.8,6,,,"lola brachet,dr. rhyma,jonas diene",lola brachet,unknown,15.178099162631442
the carmichael show,tv-14,90,True,69.0,80,the carmichael show,False,tvepisode,False,42,talk-show,7.8,6,8,149,"wendy williams,loretta devine,debbie miller",debbie miller,unknown,15.178099162631442
november rule,tv-14,90,True,,82,november rule,False,movie,False,94,"comedy,romance",5.3,913,,,"mike elliott,candice childress,juwan lee,cecelia ross,david brown",mike elliott,"candice childress,juwan lee,cecelia ross",36.13450202870699
haters back off,tv-14,90,True,58.0,80,haters back off,False,tvepisode,False,30,comedy,7.8,6,2,4,nathaniel avila,nathaniel avila,nathaniel avila,15.178099162631442
kubo and the two strings,pg,60,True,96.0,80,kubo and the two strings,True,tvepisode,False,30,"news,short",7.8,6,,,unknown,unknown,unknown,15.178099162631442
kubo and the two strings,pg,60,True,96.0,80,kubo and the two strings,True,movie,False,101,"action,adventure,animation",7.7,143266,,,"art parkinson,matthew mcconaughey,meyrick murphy,minae noji,travis knight,marc haimes,chris butler,shannon tindle,arianne sutner,frank passingham,christopher murrie-green,daniel r. casey,nelson lowry",travis knight,"marc haimes,chris butler,shannon tindle",91.41798281911137
a weekend with the family,tv-ma,110,True,,82,a weekend with the family,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
crazyhead,tv-ma,110,True,,82,crazyhead,False,tvminiseries,False,44,"comedy,horror,sci-fi",7.2,5623,,,"cara theobold,susan wokoma,lewis reeves,arinzé kene,charlie archer,howard overman","al mackay,declan o'dwyer",howard overman,62.1705487211316
queen of katwe,pg,60,True,,81,queen of katwe,False,movie,False,124,"biography,drama,sport",7.4,19445,,,"madina nalwanga,david oyelowo,martin kabanza,taryn kyaze,ivan jacobo,nicolas levesque,ronald ssemaganda,ethan nazario lubega,nikita waligwa,mira nair,william wheeler,tim crothers,john b. carls,lydia dean pilcher,stephanie carroll",mira nair,"william wheeler,tim crothers",73.07793537553506
little boxes,tv-14,90,True,61.0,80,little boxes,False,movie,False,84,"comedy,drama",5.9,2263,,,"oona laurence,miranda mckeon,rob meyer,annie j. howell,ken h. keller,caron rudner",rob meyer,annie j. howell,45.576841792006135
deidra & laney rob a train,tv-14,90,True,,82,deidra & laney rob a train,False,movie,False,92,"comedy,crime,drama",6.0,2139,,,"rachel crow,lance gray,danielle nicolet,gage bradley,nick moceri,raeann eck,sydney freeland,shelby farrell,joel pickard",sydney freeland,shelby farrell,46.01136664809538
hurricane bianca,tv-ma,110,True,,82,hurricane bianca,False,movie,False,84,"comedy,drama",5.9,7090,,,"roy haylock,lola botha,markus kelle,gene fogarty,misti morley,matt kugelman,judy bowman",matt kugelman,matt kugelman,52.31283175449358
honeytrap,nr,124,True,,82,honeytrap,False,movie,False,93,"crime,drama,romance",5.9,860,,,"jessica sula,lucien laviscount,ntonga mwanza,danielle vitalis,lauren w. johns,savannah gordon-liburd,rebecca johnson,sarah sulick,john dwelly",rebecca johnson,rebecca johnson,39.87275757612361
greenleaf,tv-14,90,True,62.0,80,greenleaf,False,tvseries,False,60,drama,7.5,6394,,,"kim hawthorne,deborah joy winans,chevonne hughes,tye white,craig wright","clement virgo,charles randolph-wright,allan kroeker,janice cooke,tanya hamilton,lisa leone,crystle roberson dorsey,gregg araki,donna deitch,rob greenlea,regina king,charles stone iii,geary mcleod,nicole rubio,dawn wilkinson,bille woodruff,pete chatmon,aurora guerrero,rose troche,ayoka chenzira,rachel raimist,eric dean seaton,princess monique filmz,damian marcano","craig wright,ivy mariel pruss,erica michelle butler,art alamo,casey vandeventer,karen corneille,erica l. anderson,chelsey lora,mike flynn,david ehrman,kriss turner,mando alvarado,ty burkett,lolis eric elie,steven fulcher,jenna wycoff,robert engels,elizabeth hunter,kathleen mcghee-anderson,nick kilgore,wayne conley",65.72453785509707
lazy eye,tv-ma,110,True,,82,lazy eye,False,movie,False,87,"comedy,drama,romance",6.4,2111,,,"drew barr,lucas near-verbrugghe,aaron costa ganis,debbie jaffe,harrison givens,tim kirkman,todd shotz,gabe mayhan,caitlin dixon",tim kirkman,tim kirkman,48.994500126887374
like cotton twines,nr,124,True,,82,like cotton twines,False,movie,False,96,drama,7.8,80,,,"irene adotey,ophelia klenam dzidzornu,aiyanna johns,ludwig mawuli kalms,luckie lawson,leila djansi,akofa djankui,amanda marshall,eli nutifafa,clayton worbeck,pete villani,ting yu,florence djansi",leila djansi,leila djansi,34.27670340644502
the wedding party,tv-14,90,True,,82,the wedding party,False,movie,False,112,"comedy,romance",4.9,236,,,"michael adler,molly burnett,meg cionni,ziah colon,pamela dunlap,eric ekstrand,joey farewell,susie ganiere,thane economou,matthew patrick braun,william kamp iii,kendra shay clark",thane economou,thane economou,26.793494691562145
the wedding party,tv-14,90,True,,82,the wedding party,False,tvepisode,False,30,"comedy,drama,romance",8.5,6,1,11,"brant daugherty,julianna guill,kristen lee gutoskie,elizabeth allen rosenbaum,celine geiger,mark hadley",elizabeth allen rosenbaum,celine geiger,16.54023626697016
boy bye,tv-ma,110,True,,82,boy bye,False,movie,False,83,"drama,romance",5.2,439,,,"ross fleming,tammy townsend,valarie pettiford,tracy davis,chris stokes,marques houston",chris stokes,"marques houston,chris stokes",31.651228579943997
nancy drew,pg,60,True,,82,nancy drew,False,movie,False,99,"comedy,crime,family",5.9,22074,,,"tate donovan,max thieriot,craig gellis,rich cooper,amy bruckner,kay panabaker,andrew fleming,tiffany paulsen,mildred wirt benson,ralph sall",andrew fleming,"andrew fleming,tiffany paulsen,mildred wirt benson",59.012986050285754
nurse jackie,tv-ma,110,True,82.0,80,nurse jackie,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
drop dead diva,tv-pg,70,True,,82,drop dead diva,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
gilmore girls,tv-14,90,True,91.0,80,gilmore girls,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
parenthood,tv-14,90,True,79.0,80,parenthood,False,tvepisode,False,59,documentary,8.8,109,1,6,david attenborough,unknown,unknown,41.36422721897327
life unexpected,tv-pg,70,True,55.0,80,life unexpected,False,tvseries,False,60,drama,7.5,15826,,,"kerr smith,austin basis,reggie austin,austin butler,liz tigelaar","gary fleder,jerry levine,elizabeth allen rosenbaum,rick bota,nick marck,allan arkush,sanaa hamri,michael katleman,jeff melman,cherie nowlan,david paymer,bobby roth,j. miller tobin,howard deutch","liz tigelaar,michael kramer,deirdre shaw,adele lim,sallie patrick,taylor hamra,patricia carr,lara olsen,christopher fife,janet leahy,emily whitesell",72.52104465999962
being human (u.s.),tv-14,90,True,58.0,80,being human (u.s.),False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
the carrie diaries,tv-14,90,True,,82,the carrie diaries,False,tvseries,False,42,"comedy,drama,romance",7.0,29472,,,"austin butler,ellen wong,katie findlay,freema agyeman,krystal procida,amy harris","amy heckerling,andy wolk,norman buckley,janice cooke,michael fields,daisy von scherler mayer,miguel arteta,nanette burstein,zetna fuentes,jennifer getzinger,alfonso gomez-rejon,patrick r. norris,david paymer,jann turner,david warren,andrew mccarthy,sarah price,jason reilly","candace bushnell,amy harris,henry alonso myers,jessica o'toole,amy rardin,terri minsky,sascha rothchild,doug stockstill,marc halsey,jessica queller,logan slakter",72.03860908292806
baby daddy,tv-14,90,True,80.0,80,baby daddy,False,tvepisode,False,22,"animation,comedy,family",8.7,7,1,12,"todd kauffman,mark thornton,alice prodanou","todd kauffman,mark thornton",alice prodanou,18.09114141261457
the angriest man in brooklyn,r,100,True,,82,the angriest man in brooklyn,False,movie,False,83,"comedy,drama",5.7,24770,,,"sutton foster,daniel raymont,phil alden robinson,daniel taplitz,assi dayan,tyler mitchell,daniel j. walker",phil alden robinson,"daniel taplitz,assi dayan",57.66934469058757
sense8,tv-ma,110,True,81.0,80,sense8,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
girlfriends' guide to divorce,tv-14,90,True,63.0,80,girlfriends' guide to divorce,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
fried,tv-ma,110,True,,82,fried,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
the great gilly hopkins,pg,60,True,69.0,80,the great gilly hopkins,False,tvepisode,False,30,documentary,7.8,6,10,86,david freydt,david freydt,unknown,15.178099162631442
the magicians,tv-ma,110,True,89.0,80,the magicians,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
one day at a time,tv-pg,70,True,,82,one day at a time,False,tvepisode,False,30,history,7.8,6,1,4,unknown,unknown,unknown,15.178099162631442
one day at a time,tv-pg,70,True,,82,one day at a time,False,tvseries,False,30,"comedy,drama",8.1,19261,,,"justina machado,todd grinnell,isabella gomez,marcel ruiz,sheridan pierce,gloria calderón kellett,mike royce","phill lewis,pamela fryman,gloria calderón kellett,kimberly mccullough,victor gonzalez,angela barnes,michael lembeck,jody margolin hahn,linda mendoza,todd grinnell,m.r. horhager,michael shea,michael j. shea","whitney blake,gloria calderón kellett,norman lear,allan manings,mike royce,michelle badillo,caroline levich,debby wolfe,andy roth,janine brito,alison levering,sebastian jones,becky mann,audra sielaff,erin foley,dan hernandez,benji samit,dan signer,eliza jiménez cossio,liz rivera,peter murrieta,vincent brown,brigitte muñoz-liebowitz",79.91370512917855
one day at a time,tv-pg,70,True,,82,one day at a time,False,short,False,3,short,7.8,6,,,"jenna lam,susan grace,valerie genzano,maria vattimo",valerie genzano,valerie genzano,15.178099162631442
better off single,tv-ma,110,True,,82,better off single,False,movie,False,85,comedy,4.4,877,,,"abby elliott,benjamin cox,tracey becker",benjamin cox,benjamin cox,29.821645011994516
the matchbreaker,pg,60,True,79.0,80,the matchbreaker,False,movie,False,94,"comedy,romance",5.6,2950,,,"wesley elder,christina grimmie,shawna howson,tessa violet,torry martin,caleb vetter,marshal younger,courtney vetter",caleb vetter,"caleb vetter,wesley elder,marshal younger,torry martin",44.743436499680456
tramps,tv-ma,110,True,,82,tramps,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
slam,tv-ma,110,True,,82,slam,False,tvseries,False,30,game-show,7.8,6,,,eleni tsolaki,giannis galanoulis,unknown,15.178099162631442
the waterboy,pg-13,80,True,82.0,80,the waterboy,False,movie,False,90,"comedy,sport",6.2,186222,,,"adam sandler,kathy bates,henry winkler,jerry reed,lawrence gilliard jr.,blake clark,peter dante,jonathan loughran,al whiting,frank coraci,tim herlihy,alan pasqua",frank coraci,"tim herlihy,adam sandler",75.23514098759927
10 things i hate about you,pg-13,80,True,68.0,80,10 things i hate about you,False,movie,False,97,"comedy,drama,romance",7.4,422179,,,"heath ledger,julia stiles,larisa oleynik,andrew keegan,susan may pratt,gabrielle union,larry miller,daryl mitchell,gil junger,karen mccullah,kirsten smith,richard gibbs,mark irwin,o. nicholas brown,gail goldberg,donna morong,marcia ross,carol winstead wood",gil junger,"karen mccullah,kirsten smith,william shakespeare",95.85358411346446
grease,pg,60,True,86.0,80,grease,False,movie,False,110,"comedy,musical,romance",7.2,316038,,,"john travolta,olivia newton-john,stockard channing,jeff conaway,barry pearl,michael tucci,kelly ward,didi conn,jamie donnelly,dinah manoff,randal kleiser,jim jacobs,warren casey,bronte woodard,allan carr,robert stigwood,bill butler,john f. burnett,joel thurm,philip m. jefferies",randal kleiser,"jim jacobs,warren casey,bronte woodard,allan carr",91.17807049926164
how to lose a guy in 10 days,pg-13,80,True,56.0,80,how to lose a guy in 10 days,False,movie,False,116,"comedy,romance",6.5,300403,,,"kate hudson,matthew mcconaughey,annie parisse,thomas lennon,michael michele,shalom harlow,robert klein,bebe neuwirth,donald petrie,michele alexander,jeannie long,kristen buckley,brian regan,christine peters,david newman,andrew s. brown",donald petrie,"michele alexander,jeannie long,kristen buckley,brian regan,burr steers",81.9837428433575
the benchwarmers,pg-13,80,True,77.0,80,the benchwarmers,False,movie,False,85,"comedy,sport",5.6,56849,,,"david spade,jon heder,craig kilborn,molly sims,nick swardson,erinn bartlett,amaury nolasco,dennis dugan,allen covert,adam sandler,sandy s. solowitz",dennis dugan,"allen covert,nick swardson",61.309760395400616
step up,pg-13,80,True,64.0,80,step up,False,movie,False,104,"crime,drama,music",6.5,131010,,,"jenna dewan,damaine radcliff,de'shawn washington,mario,drew sidora,rachel griffiths,josh henderson,tim lacatena,alyson stoner,anne fletcher,duane adler,melissa rosenberg,erik feig,adam shankman,patrick wachsberger,nancy richardson,rich mento",anne fletcher,"duane adler,melissa rosenberg",76.58973769280404
high school musical 2,tv-g,35,True,58.0,80,high school musical 2,False,tvmovie,False,104,"comedy,drama,family",5.3,69480,,,"ashley tisdale,lucas grabeel,corbin bleu,monique coleman,bart johnson,alyson reed,kenny ortega,peter barsocchini,bill borden,natalie hart,jeff johnson",kenny ortega,peter barsocchini,59.088685648276936
twilight,pg-13,80,True,89.0,80,twilight,False,movie,False,122,"drama,fantasy,romance",5.3,509285,,,"kristen stewart,robert pattinson,billy burke,sarah clarke,matt bushell,gil birmingham,taylor lautner,gregory tyree boyce,justin chon,michael welch,catherine hardwicke,melissa rosenberg,stephenie meyer,mark morgan,elliot davis,nancy richardson,tricia wood",catherine hardwicke,"melissa rosenberg,stephenie meyer",69.64605462605986
twilight,pg-13,80,True,89.0,80,twilight,False,tvepisode,False,23,"action,adventure,animation",9.4,6,2,25,"noah cappe,alexander conti,greg collinson",unknown,greg collinson,18.291555401119947
twilight,pg-13,80,True,89.0,80,twilight,False,short,False,16,"drama,short",7.2,65,,,"jack guzman,marci michelle,george kitson,chris s. webb",george kitson,george kitson,30.16551414259026
coraline,pg,60,True,95.0,80,coraline,True,movie,False,100,"animation,drama,family",7.8,285409,,,"teri hatcher,john hodgman,jennifer saunders,dawn french,robert bailey jr.,ian mcshane,aankha neal,george selick,henry selick,neil gaiman,claire jennings,bill mechanic,mary sandell,bruno coulais,pete kozachik,christopher murrie-green,cathy kalmenson",henry selick,"henry selick,neil gaiman",97.98111977123678
coraline,pg,60,True,95.0,80,coraline,True,tvepisode,False,2,"comedy,short",5.1,16,2,2,doug walker,doug walker,doug walker,14.449388054686702
