title,rating,ratingDescription,release year,user rating score,user rating size,title_normalized,is_top_1000,titleType,isAdult,runtimeMinutes,genres,averageRating,numVotes,seasonNumber,episodeNumber,actors_list,directors_names,writers_names,success_score
the originals,tv-14,90,True,74.0,80,the originals,False,tvepisode,False,8,news,7.8,6,3,16,unknown,unknown,unknown,15.178099162631442
the 100,nr,124,True,97.0,80,the 100,False,tvepisode,False,30,comedy,7.6,7,2,9,nathaniel avila,nathaniel avila,nathaniel avila,15.803755716766752
masha and the bear,tv-y,10,True,81.0,80,masha and the bear,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
"ìò pai, ìò - look at this",tv-ma,110,True,,82,"ìò pai, ìò - look at this",False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
nymphomaniac: volume 1,nr,124,True,,82,nymphomaniac: volume 1,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
hunter x hunter (2011),nr,124,True,57.0,80,hunter x hunter (2011),False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
marvel's luke cage,tv-ma,110,True,95.0,80,marvel's luke cage,False,tvepisode,False,30,news,7.8,6,3,30,unknown,unknown,unknown,15.178099162631442
marvel's iron fist,tv-ma,110,True,98.0,80,marvel's iron fist,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
narcos,tv-ma,110,True,94.0,80,narcos,False,tvepisode,False,30,comedy,7.8,6,2,2,nathaniel avila,nathaniel avila,nathaniel avila,15.178099162631442
the flash,tv-pg,70,True,98.0,80,the flash,False,tvepisode,False,30,talk-show,7.8,6,2,12,lisa beth kovetz,unknown,lisa beth kovetz,15.178099162631442
the seven deadly sins,tv-14,90,True,,82,the seven deadly sins,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
scream,tv-14,90,True,,82,scream,False,tvepisode,False,30,news,7.8,6,2,14,"christian villarreal,nuh omar",nuh omar,"nuh omar,christian villarreal",15.178099162631442
scream,tv-14,90,True,,82,scream,False,short,False,30,"drama,short",7.8,6,,,"harry thomas,justin ian",harry thomas,unknown,15.178099162631442
the do-over,tv-ma,110,True,84.0,80,the do-over,False,movie,False,108,"action,adventure,comedy",5.7,54317,,,"adam sandler,david spade,nick swardson,renée taylor,natasha leggero,steven brill,kevin barnett,chris pappas,allen covert,ted sarandos,rupert gregson-williams,tom costain",steven brill,"kevin barnett,chris pappas",62.14488237340992
operaì¤ìµes especiais,tv-ma,110,True,,82,operaì¤ìµes especiais,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
3%,tv-ma,110,True,,82,3%,False,tvseries,False,49,"action,drama,sci-fi",7.3,29378,,,"bianca comparato,vaneza oliveira,rodolfo valente,rafael lozano,cynthia aparecida,bruno fagundes,laila garin,thais lago,pedro aguilera","jotagá crema,daina giannecchini,dani libardi,philippe barcinski,césar charlone","pedro aguilera,denis nielsen,ivan nakamura,teodoro poppovic,carol rodrigues,guilherme freitas,juliana rojas,andré sirangelo,jotagá crema,cássio koshikumo,andrea midori,marcelo montenegro,natalia maeda",75.102658510439
3%,tv-ma,110,True,,82,3%,False,tvepisode,False,30,reality-tv,7.8,6,1,11,justine wollaston,justine wollaston,unknown,15.178099162631442
trollhunters,tv-y7-fv,42,True,83.0,80,trollhunters,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
fearless,tv-14,90,True,,82,fearless,False,movie,False,88,"comedy,drama,musical",6.1,29,,,"michael copon,kailyn voris,jason rogers,mark maine,mike terrell,jonathan harrill,niko vilaivongs",mark maine,"mark maine,mike terrell",20.747304028139148
fearless,tv-14,90,True,,82,fearless,False,tvepisode,False,30,drama,7.8,6,1,2,unknown,unknown,unknown,15.178099162631442
fearless,tv-14,90,True,,82,fearless,False,tvseries,False,30,documentary,7.1,358,,,guilherme marchi,michael john warren,unknown,41.771588958266776
fearless,tv-14,90,True,,82,fearless,False,short,False,9,"drama,family,short",7.8,6,,,"tim nolte,maggie hartmans",tim nolte,"maggie hartmans,tim nolte",15.178099162631442
hyena road,r,100,True,,82,hyena road,False,movie,False,120,"drama,war",6.5,9638,,,"kelly holden,ibrahim dweiken,andrew wall,niamatullah arghandabi,paul gross",paul gross,paul gross,59.628222210595794
santa clarita diet,tv-ma,110,True,82.0,80,santa clarita diet,False,tvseries,False,30,"comedy,horror",7.8,80485,,,"natalie morales,jonathan slavin,victor fresco","marc buckland,ken kwapis,steve pink,ruben fleischer,adam arkin,tamra davis,dean parisot,lynn shelton,craig zisk,jamie babbit,jaffar mahmood,andy ackerman,rebecca asher,geeta vasant patel","victor fresco,aaron brownstein,simon ganz,melissa hunter,ben smith,caitlin meares,clay graham,michael a. ross,chadd gindin,leila cohan,sarah walker,romi barta",88.10754057486069
"sex, love and therapy",nr,124,True,,82,"sex, love and therapy",False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
white girl,ur,124,True,,82,white girl,False,movie,False,88,"crime,drama",5.7,12218,,,"morgan saylor,brian marc,ralph rodriguez,elizabeth wood,gabriel nussbaum,michael simmonds,chris trujillo",elizabeth wood,elizabeth wood,53.641260159004176
girlboss,tv-ma,110,True,94.0,80,girlboss,False,tvseries,False,26,comedy,7.0,20385,,,"ellie reed,dean norris,kay cannon","christian ditter,jamie babbit,amanda brotchie,steven k. tsuchida,john riggi","sophia amoruso,jen braeden,kay cannon,karen graci,brian shortall,lee sung jin,eben russell,caroline williams,joanna calo,jake fogelnest",69.45822568809851
city of god: 10 years later,tv-ma,110,True,,82,city of god: 10 years later,False,movie,False,70,documentary,6.4,1562,,,"seu jorge,thiago martins,rubens sabino,cavi borges,luciano vidigal,maria do rosário caetano,carla osório,andré sampaio","cavi borges,luciano vidigal","maria do rosário caetano,carla osório,andré sampaio,cavi borges,luciano vidigal",47.06791891469746
13 reasons why,tv-ma,110,True,99.0,80,13 reasons why,False,tvseries,False,60,"drama,mystery,thriller",7.4,329942,,,"dylan minnette,katherine langford,christian navarro,alisha boe,brandon flynn,justin prentice,devin druid,amy hargreaves,miles heizer,brian yorkey","jessica yu,kyle patrick alvarez,gregg araki,michael morris,kevin dowling,carl franklin,tom mccarthy,helen shaver,kat candler,eliza hittman,karen moncrieff,aurora guerrero,bronwen hughes,sunu gonera,russell mulcahy,brenda strong,michael sucsy,john t. kretchmer,tommy lohmann,brian yorkey","jay asher,brian yorkey,julia bicknell,nic sheff,rohit kumar,felischa marye,kirk a. moore,thomas higgins,hayley tyler,allen macdonald,m.k. malone,elizabeth benjamin,diana son,marissa jo cerar,helen shang,trevor marti smith,evangeline ordaz,nathan louis jackson,mfoniso udofia,franky gonzalez,sahar jahani",94.02939641525639
13 reasons why,tv-ma,110,True,99.0,80,13 reasons why,False,tvepisode,False,30,drama,7.8,6,1,33,unknown,unknown,unknown,15.178099162631442
sand castle,tv-ma,110,True,89.0,80,sand castle,False,movie,False,113,"action,drama,war",6.3,29302,,,"henry cavill,sope dirisu,fernando coimbra,chris roessner,justin nappi,mike gunn",fernando coimbra,chris roessner,64.79830462670618
salvador martinha - tip of the tongue,tv-ma,110,True,,82,salvador martinha - tip of the tongue,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
sandy wexler,tv-14,90,True,92.0,80,sandy wexler,False,movie,False,130,comedy,5.2,19719,,,"adam sandler,nick swardson,lamorne morris,steven brill,dan bulla,paul sado,allen covert,ted sarandos,rupert gregson-williams,tom costain",steven brill,"dan bulla,paul sado,adam sandler",51.42482086641446
o amor no divì£,tv-ma,110,True,,82,o amor no divì£,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
stronger than the world,nr,124,True,,82,stronger than the world,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
back and forth,nr,124,True,,82,back and forth,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
happily married,tv-14,90,True,,82,happily married,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
