tconst	directors	writers
tt5651134	nm8058066	nm8086122,nm8058066
tt5651844	nm0586539,nm0850102,nm0912272,nm0001726,nm0939869,nm0005202,nm0403541,nm0460825	nm0942249,nm8399252,nm2991312,nm1866188,nm3352320,nm1029219,nm4225041,nm2045622,nm3381815,nm2374799,nm4034222,nm3147992
tt5655112	nm8058066	nm8058066
tt5657974	\N	\N
tt5659122	nm1131716	\N
tt5661274	\N	\N
tt5663482	nm0475866	nm0456017
tt5664130	nm8098222	nm8098222,nm8098224,nm7553595
tt5666478	nm8100359	nm8100358
tt5667196	nm8154909	nm7224781,nm3758935,nm3445229,nm4132069,nm8154909
tt5668278	nm7635273	nm8096498,nm7635273
tt5669920	nm5859331	nm1862662,nm2247613,nm5859331
tt5670046	nm2086265	\N
tt5671930	nm7353159	nm7353159,nm8105513
tt5672036	nm3632964,nm0772907,nm2087959	nm2086526,nm1089476,nm3768688,nm6829170,nm0614737,nm6193698,nm2212555,nm1156467,nm8053058,nm0911488
tt5676514	nm1338182	\N
tt5679550	nm7645969,nm7645968	nm7645969,nm7645968
tt5685594	nm3906558	nm6358299
tt5688016	nm2086265	\N
tt5689614	\N	nm5542223
tt5690552	nm1288934	nm0176689,nm0739661,nm2613887,nm1208415,nm0769123,nm4567237,nm1479450
tt5690998	nm7102888	nm7102888
tt5692800	nm8121742	nm8121742
tt5696852	nm0403541	nm0942249,nm8399252,nm1866188,nm2991312,nm1029219
tt5699576	nm4012945	nm4012945
tt5706996	nm0228542,nm0044803,nm0112565,nm1286069,nm0726642	nm4619459,nm3873358,nm0134224,nm2689523,nm0795127,nm2768206,nm2037254,nm1049335,nm3355108,nm0283905
tt5711316	nm8004198	nm8134421,nm8004198,nm8134422
tt5719148	nm6860949,nm6860950,nm6860951	nm6860949,nm8469478,nm6860950,nm6860951
tt5720876	\N	\N
tt5723772	nm3511042	nm6801141
tt5724332	\N	\N
tt5738424	nm8110279	nm8110280
tt5740318	nm3973010	nm3973010
tt5740710	nm8159167,nm8159160	nm8159167
tt5741124	nm3441043	nm4937608,nm1245469
tt5744292	nm8162321,nm8162323,nm8162320	nm8162323,nm8162320,nm8162321
tt5748184	\N	\N
tt5748604	nm8165996	nm8165996
tt5751410	\N	nm5789673,nm7477731
tt5751434	nm5342427	nm3066492,nm6716793,nm4916283
